Entity,Type
Five,CARDINAL
1,CARDINAL
Seven,CARDINAL
eight,CARDINAL
Eight,CARDINAL
eight,CARDINAL
Stargate,PRODUCT
2,CARDINAL
months,DATE
2,CARDINAL
3,CARDINAL
Stargate,PRODUCT
2,CARDINAL
Stargate,PRODUCT
1,CARDINAL
Stargate,PRODUCT
1,CARDINAL
Stargate,PRODUCT
AIRMAN,PERSON
1,CARDINAL
Stargate,PRODUCT
Identi,PERSON
Stargate,PRODUCT
seven,CARDINAL
Kree,PERSON
Apophis,PERSON
Teal,PERSON
Apophis,PRODUCT
One,CARDINAL
Teal,PERSON
Goa'uld,PRODUCT
Apophis,PERSON
one,CARDINAL
One,CARDINAL
Jaffa,PERSON
1,CARDINAL
Stargate,PRODUCT
Hammond,PERSON
Apophis,PERSON
two,CARDINAL
One,CARDINAL
Stargate,PRODUCT
Samuels,PERSON
O'Neill,PERSON
Jack O'Neill,PERSON
Samuels,PERSON
"O'NEILL 
Air Force",ORG
NASA,ORG
O'Neill,ORG
Hammond,PERSON
Stargate,PRODUCT
O'Neill,ORG
EXT—CHEYENNE MOUNTAIN BASE,ORG
O'Neill,GPE
Sublevel 11,ORG
nine,CARDINAL
Sublevel Two,ORG
Twenty,CARDINAL
O'Neill,GPE
second,ORDINAL
second,ORDINAL
Samuels,PERSON
O'Neill,PERSON
Samuels,PERSON
O'Neill,PERSON
Samuels,PERSON
two,CARDINAL
Samuels,PERSON
O'Neill,PERSON
Hammond,PERSON
Jack O'Neill,PERSON
the last ten years,DATE
Samuels,PERSON
Stargate,PRODUCT
Jaffa,PERSON
four,CARDINAL
Hammond,PERSON
O'Neill,PERSON
O'Neill,PERSON
Abydos,GPE
Earth,LOC
Ra,PERSON
thousands of years ago,DATE
HAMMOND,PERSON
Ra,PERSON
first,ORDINAL
HAMMOND,PERSON
Stargate,PRODUCT
O'Neill,PERSON
Hammond,PERSON
O'Neill,PERSON
Samuels,PERSON
HAMMOND,PERSON
Stargate,PRODUCT
O'Neill,PERSON
Ferretti,PERSON
Kawalsky,PERSON
Kawalsky,PERSON
Ferretti,PERSON
first,ORDINAL
Stargate,PRODUCT
Daniel Jackson,PERSON
Hammond,PERSON
O'Neill,PERSON
Kawalsky,GPE
Ferretti,GPE
HAMMOND,PERSON
Colonel—,PERSON
Daniel Jackson?,PERSON
HAMMOND,PERSON
Daniel Jackson,PERSON
"O'NEILL 
Daniel",PERSON
Stargate,PRODUCT
Ra,PERSON
Jackson,PERSON
Daniel Jackson,PERSON
Abydos,GPE
Stargates,PRODUCT
the Abydos Stargate,PRODUCT
Stargate,PRODUCT
the Abydos Gate,FAC
"HAMMOND 
Countdown's",ORG
Hammond,PERSON
Ra,PERSON
Earth,LOC
Ra,PERSON
Daniel Jackson,PERSON
Abydos,GPE
HAMMOND,PERSON
Abydos,GPE
Ra,PERSON
O'NEILL,PERSON
Daniel,PERSON
four,CARDINAL
Airman,PERSON
O'Neill,PERSON
Hammond,PERSON
HAMMOND,PERSON
O'Neill,PERSON
Hammond,PERSON
Samuels,PERSON
two,CARDINAL
O'Neill,PERSON
EXT—CHEYENNE MOUNTAIN,ORG
O'Neill,GPE
Kawalsky,PERSON
one,CARDINAL
O'Neill,PERSON
Kawalsky,PERSON
Kawalsky,PERSON
O'Neill,PERSON
Ferretti,PERSON
Abydos,PERSON
KAWALSKY,PERSON
O'Neill,GPE
Kawalsky,GPE
KAWALSKY,PERSON
one,CARDINAL
"O'NEILL 
Skaara",PERSON
Skaara,PERSON
Abydos,GPE
KAWALSKY,PERSON
Hammond,PERSON
HAMMOND,PERSON
five thousand,CARDINAL
Hammond,PERSON
O'Neill,PERSON
Kawalsky,PERSON
Daniel,PERSON
one,CARDINAL
MIT,ORG
Kawalsky,GPE
Hammond,PERSON
Airmen,FAC
Stargate,PRODUCT
Chevron,ORG
Four,CARDINAL
INT—CONTROL ROOM,ORG
O'Neill,GPE
Hammond,GPE
Samuels,PERSON
Kawalsky,GPE
O'Neill,ORG
"TECHNICIAN 
Chevron",ORG
Five,CARDINAL
"O'NEILL 
Jackson",PERSON
"TECHNICIAN 
Chevron Six",ORG
O'Neill,ORG
"TECHNICIAN 
Chevron Seven",ORG
Stargate,PRODUCT
O'Neill,ORG
five seconds,TIME
four,CARDINAL
three,CARDINAL
two,CARDINAL
one,CARDINAL
Stargate,PRODUCT
the Abydos Stargate,PRODUCT
HAMMOND,PERSON
Daniel,PERSON
Samuels,PERSON
Hammond,PERSON
BRIEFING ROOM,ORG
Stargate,PRODUCT
INT—GATE ROOM,ORG
