Text,Upos,Xpos
TEASER,NOUN,NN
FADE,VERB,VB
IN,ADP,IN
INT—,PROPN,NNP
GATE,PROPN,NNP
ROOM,PROPN,NNP
[,PUNCT,-LRB-
Five,NUM,CD
airmen,NOUN,NNS
are,AUX,VBP
sitting,VERB,VBG
on,ADP,IN
duty,NOUN,NN
around,ADP,IN
a,DET,DT
table,NOUN,NN
at,ADP,IN
the,DET,DT
bottom,NOUN,NN
of,ADP,IN
the,DET,DT
ramp,NOUN,NN
",",PUNCT,","
playing,VERB,VBG
poker,NOUN,NN
.,PUNCT,.
],PUNCT,-RRB-
AIRMAN,NOUN,NN
1,NUM,CD
Oh,INTJ,UH
man,NOUN,NN
",",PUNCT,","
this,DET,DT
hand,NOUN,NN
's,AUX,VBZ
as,ADV,RB
lousy,ADJ,JJ
as,ADP,IN
this,DET,DT
detail,NOUN,NN
.,PUNCT,.
All,DET,DT
right,ADJ,JJ
",",PUNCT,","
everybody,PRON,NN
",",PUNCT,","
ante,VERB,VB
up,ADP,RP
.,PUNCT,.
(,PUNCT,-LRB-
looking,VERB,VBG
to,ADP,IN
female,ADJ,JJ
airman,NOUN,NN
),PUNCT,-RRB-
That,PRON,DT
's,AUX,VBZ
you,PRON,PRP
too,ADV,RB
.,PUNCT,.
(,PUNCT,-LRB-
he,PRON,PRP
deals,VERB,VBZ
),PUNCT,-RRB-
Seven,NUM,CD
to,ADP,IN
the,DET,DT
deuce,NOUN,NN
",",PUNCT,","
nothing,PRON,NN
there,ADV,RB
.,PUNCT,.
Boss,NOUN,NN
and,CCONJ,CC
the,DET,DT
eight,NUM,CD
",",PUNCT,","
nothing,PRON,NN
happening,VERB,VBG
.,PUNCT,.
Queen,NOUN,NN
to,ADP,IN
the,DET,DT
king,NOUN,NN
",",PUNCT,","
possible,ADJ,JJ
straight,ADV,RB
going,VERB,VBG
there,ADV,RB
.,PUNCT,.
Eight,NUM,CD
on,ADP,IN
the,DET,DT
eight,NUM,CD
",",PUNCT,","
and,CCONJ,CC
the,DET,DT
jack,NOUN,NN
gets,VERB,VBZ
a,DET,DT
boss,NOUN,NN
.,PUNCT,.
Eights,PROPN,NNPS
open,VERB,VBP
.,PUNCT,.
FEMALE,ADJ,JJ
AIRMAN,NOUN,NN
Are,AUX,VBP
n't,PART,RB
you,PRON,PRP
